"Step","deit3_huge_patch14_224 - train robustness - Train Loss","deit3_huge_patch14_224 - train robustness - Train Loss__MIN","deit3_huge_patch14_224 - train robustness - Train Loss__MAX","openclip_vitl14 - train robustness - Train Loss","openclip_vitl14 - train robustness - Train Loss__MIN","openclip_vitl14 - train robustness - Train Loss__MAX","openclip_vith14 - train robustness - Train Loss","openclip_vith14 - train robustness - Train Loss__MIN","openclip_vith14 - train robustness - Train Loss__MAX","openclip_vitb16 - train robustness - Train Loss","openclip_vitb16 - train robustness - Train Loss__MIN","openclip_vitb16 - train robustness - Train Loss__MAX","deit3_large_patch16_224 - train robustness - Train Loss","deit3_large_patch16_224 - train robustness - Train Loss__MIN","deit3_large_patch16_224 - train robustness - Train Loss__MAX","deit3_base_patch16_224 - train robustness - Train Loss","deit3_base_patch16_224 - train robustness - Train Loss__MIN","deit3_base_patch16_224 - train robustness - Train Loss__MAX"
"0","1.4349250793457031","1.4349250793457031","1.4349250793457031","1.0412882566452026","1.0412882566452026","1.0412882566452026","1.1499900817871094","1.1499900817871094","1.1499900817871094","1.0974425077438354","1.0974425077438354","1.0974425077438354","1.3861372470855713","1.3861372470855713","1.3861372470855713","1.2434031963348389","1.2434031963348389","1.2434031963348389"
"1","1.513901948928833","1.513901948928833","1.513901948928833","1.1839627027511597","1.1839627027511597","1.1839627027511597","1.104671835899353","1.104671835899353","1.104671835899353","1.04404878616333","1.04404878616333","1.04404878616333","1.5078608989715576","1.5078608989715576","1.5078608989715576","1.3321120738983154","1.3321120738983154","1.3321120738983154"
"2","1.4809045791625977","1.4809045791625977","1.4809045791625977","1.261124610900879","1.261124610900879","1.261124610900879","1.125346302986145","1.125346302986145","1.125346302986145","1.3633888959884644","1.3633888959884644","1.3633888959884644","1.419701337814331","1.419701337814331","1.419701337814331","1.311990737915039","1.311990737915039","1.311990737915039"
"3","1.547047734260559","1.547047734260559","1.547047734260559","1.3180797100067139","1.3180797100067139","1.3180797100067139","1.1708037853240967","1.1708037853240967","1.1708037853240967","1.3029310703277588","1.3029310703277588","1.3029310703277588","1.5574231147766113","1.5574231147766113","1.5574231147766113","1.3930349349975586","1.3930349349975586","1.3930349349975586"
"4","1.5104953050613403","1.5104953050613403","1.5104953050613403","1.261750340461731","1.261750340461731","1.261750340461731","1.1805493831634521","1.1805493831634521","1.1805493831634521","1.4135982990264893","1.4135982990264893","1.4135982990264893","1.558162808418274","1.558162808418274","1.558162808418274","1.3123621940612793","1.3123621940612793","1.3123621940612793"
"5","1.5842688083648682","1.5842688083648682","1.5842688083648682","1.3162422180175781","1.3162422180175781","1.3162422180175781","1.218703031539917","1.218703031539917","1.218703031539917","1.5149089097976685","1.5149089097976685","1.5149089097976685","1.5136677026748657","1.5136677026748657","1.5136677026748657","1.4706928730010986","1.4706928730010986","1.4706928730010986"
"6","1.5748672485351562","1.5748672485351562","1.5748672485351562","1.5530399084091187","1.5530399084091187","1.5530399084091187","1.2413175106048584","1.2413175106048584","1.2413175106048584","1.6654295921325684","1.6654295921325684","1.6654295921325684","1.558361291885376","1.558361291885376","1.558361291885376","1.4205902814865112","1.4205902814865112","1.4205902814865112"
"7","1.5622873306274414","1.5622873306274414","1.5622873306274414","1.485206127166748","1.485206127166748","1.485206127166748","1.072953224182129","1.072953224182129","1.072953224182129","1.6823631525039673","1.6823631525039673","1.6823631525039673","1.5143470764160156","1.5143470764160156","1.5143470764160156","1.33161199092865","1.33161199092865","1.33161199092865"
"8","1.556354284286499","1.556354284286499","1.556354284286499","1.6360716819763184","1.6360716819763184","1.6360716819763184","1.2461249828338623","1.2461249828338623","1.2461249828338623","1.56099534034729","1.56099534034729","1.56099534034729","1.4867348670959473","1.4867348670959473","1.4867348670959473","1.3642261028289795","1.3642261028289795","1.3642261028289795"
"9","1.5904717445373535","1.5904717445373535","1.5904717445373535","1.678898572921753","1.678898572921753","1.678898572921753","1.3264045715332031","1.3264045715332031","1.3264045715332031","1.5735536813735962","1.5735536813735962","1.5735536813735962","1.617995023727417","1.617995023727417","1.617995023727417","1.4376235008239746","1.4376235008239746","1.4376235008239746"
